date,thu,tinh,ngay_text,ky_hieu,special,prize1,prize2_1,prize2_2,prize3_1,prize3_2,prize3_3,prize3_4,prize3_5,prize3_6,prize4_1,prize4_2,prize4_3,prize4_4,prize5_1,prize5_2,prize5_3,prize5_4,prize5_5,prize5_6,prize6_1,prize6_2,prize6_3,prize7_1,prize7_2,prize7_3,prize7_4
2020-01-02,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 02/01/2020,9AN-6AN-2AN,73604,27909,96677,59182,26419,25056,94576,96614,06210,71718,7486,1604,8369,5441,0329,7801,5812,4287,9782,8338,411,031,776,58,34,88,48
2020-01-03,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 03/01/2020,13AM-8AM-14AM,19143,80801,41658,64482,15807,06706,76479,97337,19586,70550,3284,3273,1823,8386,9338,0960,2939,8430,1275,8036,363,587,433,82,89,02,37
2020-01-04,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 04/01/2020,13AL-1AL-10AL,54949,08119,18807,83419,96779,17235,12384,84620,04288,97115,9498,6409,8411,2897,7106,3219,7061,3554,6767,3799,886,753,220,47,71,70,07
2020-01-05,Chủ nhật,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 05/01/2020,13AK-7AK-10AK,45721,49581,90193,05073,28749,57956,06164,80064,48288,65170,9855,8994,8995,5266,9974,7212,5754,4959,3908,9573,829,162,636,00,43,47,82
2020-01-06,Thứ hai,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 06/01/2020,6AH-1AH-5AH,14012,27116,49045,61784,18025,85323,87635,02069,05472,52027,5546,8159,5494,4443,5634,3006,7014,9544,4947,3570,316,638,684,77,89,23,10
2020-01-07,Thứ ba,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 07/01/2020,2AM-1AM-7AM,14954,86395,65230,44442,44100,23171,92152,34310,85371,33633,1549,0572,5411,1123,9187,2213,5454,1567,9785,8898,469,178,898,16,87,98,28
2020-01-08,Thứ tư,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 08/01/2020,6AF-3AF-12AF,78804,05932,92923,97549,20552,17351,91202,31504,95158,87664,4192,6308,5803,9572,1903,7483,7493,5256,1405,4405,775,813,497,91,71,86,45
2020-01-09,Thứ năm,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 09/01/2020,8AE-10AE-1AE,91574,89090,67375,62647,89474,48707,37558,65647,17990,68327,4236,8700,1003,3575,7981,4680,1761,8362,6218,8030,327,914,547,08,94,70,05
2020-01-10,Thứ sáu,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 10/01/2020,14AD-2AD-7AD,26396,07249,62280,65932,53999,82673,38330,80414,92920,24486,5908,3688,5138,7264,1894,4348,5461,9358,0686,4760,131,050,958,96,22,91,41
2020-01-11,Thứ bảy,KẾT QUẢ XỔ SỐ Miền Bắc,Ngày: 11/01/2020,14AC-11AC-8AC,33658,32909,67989,61821,09815,80307,80281,26090,22437,12380,4151,7277,7224,9694,3891,4778,1030,0006,0244,8385,876,512,594,35,78,12,08
